,category,description,title,brand,asin
2305,"['Fashion & Style', 'Women']","['', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Playboy</em>?</span></strong> <br /> Provocative and informative, <em>Playboy</em> is Americas best-selling mens magazine. <em>Playboy</em> is read by more than 10.3 million people in the U.S.  of which two million are women. The magazine is primarily aimed at men in their twenties and thirties, but is read by men and women of all ages. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong><br /> Whatever goes on between a mans ears is a convenient way to sum up the content of <em>Playboy</em>. Prominent among its features are the pictorials, which showcase women ranging from the girl next door to world-famous celebrities, but also includes sports, entertainment, politics, social trends, developments in the areas of sex and romance, short fiction and compelling articles on behalf of a wide variety of subjects.', '', ""Starting with a cover and a tasteful nude pictorial of Marilyn Monroe in its inaugural 1953 issue, Playboy magazine has consistently delivered men what they want most in a magazine: photographs of beautiful women wearing as little as possible. This venerable publication has long been known for its frequent celebrity centerfolds, adult humor, and a surprising number of outstanding fiction writers and columnists. <br /><br /> Playboy magazine is a celebration of the male world. You'll find beautiful women, dressed and undressed, throughout the book, along with the famous centerfold, a fold-out full-body naked celebration of the Playmate of the Month model. Even the photographers of these lovely ladies are often people of fame and notoriety, like Annie Liebovitz and Bunny Yeager, the original Betty Page photographer. <br /><br /> Playboy has also long been known for its outstanding monthly interviews with people like Jack Nicholson, President Jimmy Carter, and Martin Luther King. It's also known for its discovery of dozens of talented writers. Alex Haley, for instance, once served as a Playboy interviewer, and some of Steven King's earliest works graced pages only a few flips away from the centerfold. <br /><br /> Playboy magazine serves as a cultural guide for men as well. Fashion, food, vacation spots, and the best in spirits and smokes are all discussed in columns and features every month. You'll also find great and often irreverent guides to movies and entertainment. Playboy magazine is a fun exploration of everything that makes up a man's world, and a subscription will ensure you never miss an issue."", '', '', '<a href=""/gp/help/customer/display.html/ref=hp_left_ac?ie=UTF8&nodeId=201293140"" target=""_blank"">Learn more</a> about auto-renewal subscriptions on Amazon.com']",,Playboy Enterprises International Inc,B000HWY1PG
2306,"['Children & Teen', 'Children', 'By Age', 'Ages 4-8']","[""<i>Highlights High Five</i> is the newest offering from the publisher of the nation's #1 children's magazine, <i>Highlights for Children</i>. Like its older sibling publication, <i>Highlights High Five</i> is founded on the belief that children are the world's most important people, and helps set children firmly on the path to becoming curious, creative, caring, and confident individuals."", ""<i>Highlights High Five</i> celebrates the early years of childhood - a time of discovery when learning happens at every turn. Our magazine is dedicated to helping parents, educators, and other caregivers nurture young children by: <br /> - encouraging a natural sense of wonder about the world; <br /> - promoting reasoning, problem solving, and creative self-expression; <br /> - fostering a love of language and a rich vocabulary; <br /> - and inspiring them to be kind, to get along with others, and to grow in self-confidence...for children are the world's most important people."", ""From the publishers of Highlights for Children magazine comes a fun publication for kids ages two through six, Highlights High Five magazine. This magazine focuses on your child's development by giving you fun activities to complete together. You and your child will enjoy the stories, poems, crafts, recipes, games, and puzzles, all while preparing him or her for learning to read. <br /><br /> The interactive columns within Highlights High Five magazine are sure to have your little one anxiously checking the mailbox each month. Recipes and crafts give kids self-confidence while hidden pictures, matching games, and other puzzles boost thinking power. Pull-out activities give your child hands-on fun that he or she can do alone or with you, allowing for an excellent bonding opportunity and bringing you and your child closer together. <br /><br /> Each article in Highlights High Five magazine is geared toward giving your child a strong foundation, preparing him or her to learn reading, math, and more. The pages of each issue also focus on building character and self-confidence by providing positive role models and constructive activities. Your young child will be a well-rounded, eager student with the help of this exciting magazine. <br /><br /> Since its inception in 1946, Highlights has been helping children learn to love learning, and Highlights High Five magazine carries on this important and often underappreciated line of work. Your child will love having a subscription delivered right to your door, fostering a love of learning that is sure to become his or her scholastic success later in life."", '', '']",,Highlights for Children,B000I0RKX2
2307,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Hunting & Firearms']","[""Each issue of North American Whitetail brings you effective techniques for outsmarting monster bucks. You'll learn the success secrets of North America's most accomplished, most knowledgeable whitetail hunters - riflemen and bowhunters alike.""]",,Outdoor Sportsman Group - Integrated Media,B000IAZ4T4
2308,"['Fashion & Style', 'Women']","['Cosmopolitan is the lifestylist and cheerleader for millions of fun, fearless females. Cosmo inspires with information on relationships and romance, fashion and beauty, womens health and well-being, as well as pop culture and entertainment.', '', '', '', '']",,Hearst Magazines,B000ICB4T6
2309,"['Entertainment & Pop Culture', 'Movies']","['This magazine covers film, video, television and contemporary music. It provides in-depth editorials on top personalities, events and developments current in the world of entertainment.', '<hr class=""bucketDivider"" size=""1"" /> <div class=""bucket"" id=""productDescription""> <div class=""content"">', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Us Weekly</em>?</span></strong> <br /> Us Weekly\'s readers are young, educated and affluent adults compelled by breaking celebrity news, Hollywood style and the best in entertainment. They focus on celebrities’ style, health and beauty routines, nutrition and fitness advice, and even the vacations of their favorite stars. The <em>Us</em> reader is interested in the film, television, and music industries, as well as fashion-forward trends and the inside entertainment scoop. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong>']",,"American Media, Inc.",B000ICB4X2
2310,,"[""EW is your all-access pass to Hollywood's most creative minds and fascinating stars. They're the first to know about the best (and worst) in entertainment, and with their sharp insight and trusted voice, they keep you plugged into pop culture. It's where buzz begins.""]",,"Entertainment Weekly, Inc.",B000IJ7RQ8
2311,"['Business & Investing', 'Careers']","['GI Jobs is a monthly magazine devoted to providing information that helps enlisted personnel transition from military service to the civilian workforce. Each issue contains profiles of successful veterans who have recently moved into corporate America, plus job and continuing education listings.']",,Victory Media Inc,B000IJ8QHC
2312,"['Cooking, Food & Wine']","['For people with an avid interest in the pleasures of cooking. Includes detailed information on food, food preparation and principles of good cooking.', 'Fine Cooking magazine provides readers with the techniques and recipes needed to create a variety of great-tasting foods. Each issue includes numerous unique and delicious recipes as well as helpful tips and guidelines to ensure that each recipe you try at home turns out as beautiful and tasty as it appears in the magazine photos. <br /><br /> The content within Fine Cooking magazine incorporates everyday recipes, party ideas, and helpful holiday dishes. You also receive plenty of cooking tips and advice on how to improve your skills in the kitchen, which can be especially helpful for beginner cooks or those unfamiliar with a particular technique or recipe style. For those who find the weeknights too busy for making elaborate meals, Fine Cooking Magazine contains several quick and easy recipes that can be prepared within thirty minutes. <br /><br /> To appeal to a broad range of readers, Fine Cooking Magazine focuses on all types of foods and recipes and always includes some healthy and delicious vegetarian entrees and side dishes in each issue. This can be helpful if you have some family members who are vegetarians and others who are not, allowing you to prepare a variety of dishes that will satisfy everyone at the table. <br /><br /> Fine Cooking Magazine is a great option if you are looking for new recipe ideas and some inspiration in the kitchen. It also makes a great gift for family or friends who are avid cooks and will appreciate the numerous cooking tips, techniques, and gorgeous recipe photos.']",,Taunton Press,B000IJ885W
2313,['Parenting & Families'],"['Family Circle is a wholesome family magazine for women that features fun things to do with kids and topics like crafts, healthy recipes, snack ideas, health advice, home decorating and so much more! This lifestyle magazine also has advice for teens so parents can learn to communicate effectively.']",,Meredith,B000IJ84F6
2314,"['Entertainment & Pop Culture', 'Pop Culture']","['High Times is a monthly publication all about the marijuana counter-culture. It features articles on the legalization of marijuana, gives tips on growing canabus, as well as detailing other drug articles, and providing ""Highwitness News."" It also has concert information and music reviews.', ""For thirty-eight years, High Times magazine has stood at the forefront of marijuana counter-culture. In addition to the latest news in marijuana cultivation and strains, it also covers a wide range of hemp-based industry. The magazine features new technology for growing and use, as well as articles tackling the social issues attached to pot industry. <br /><br /> With the ever-changing laws on marijuana use and the campaign for more medicinal leniency, it is essential to know what is going on as the policy and news changes. High Times magazine keeps enthusiasts, growers, and dispensary owners abreast of the issues and legalities affecting their interests. Its articles run the gamut from hard-hitting exposes to celebrity interviews, giving readers the inside stories behind the stigma. <br /><br /> Get tips, tricks, and resources that can help with marijuana growing operations for medicinal use or in states where personal growing is permitted. High Times magazine can help you with the common problems that growers face, such as controlling pests and fungus. It lays out the pros and the cons hydroponics systems and lights designed to provide growers with bigger yields. <br /><br /> Looking for a recipe to replace that special brownie standby? High Times magazine offers novel recipes that complement the taste of ganja, with tasty cookies, pies, and cakes created with cannabis-infused butter awaiting you in every issue. Use of hemp as a source of food, clothing, and alternative energy is explored within its pages, as is the historical use and growth of hemp during the course of America's history. A subscription to High Times magazine gives you a serious look at a controversial plant with the potential to revolutionize many industries and lives.""]",,Trans High Corporation,B000IJ8W8A
2315,"['Children & Teen', 'Children', 'By Age', 'Ages 4-8']","['Ranger Rick Jr. is for children aged 3 to 7 years. Filled with fun activities, simple stories and wild animals that the little ones love. Ranger Rick Jr. draws preschoolers closer to nature and gets them ready to read. Youngsters will enjoy the seasonal crafts, simple cooking recipes, fun games, and more. Published monthly.']",,National Wildlife Federation,B000ILYHLY
2316,"['Entertainment & Pop Culture', 'Celebrities & Gossip']","[""America's Most Popular Magazine. Defining celebrity, driving conversation and inspiring action. We're America's trusted connection to the people you want to know and the moments that shape their lives.""]",,Meredith corporation,B000ILVRWQ
2317,"['Children & Teen', 'Children', 'Educational']","['Ladybug opens the door to reading for kids ages 2 - 6. Every page of Ladybug is beautiful, colorful, and a delight to read. Each issue is filled with charming characters, activities, songs, poems, and stories.', ""If you need some help with creative stories for your young child, Ladybug Magazine is an excellent solution. Each issue is a compilation of stories, poems, and whimsical illustrations that will keep your child entertained just before bed or any other time a good story is in order. <br /><br /> Each issue of Ladybug Magazine contains several full-length stories that are short enough to keep a young child's attention but long enough to tell a complete tale. The topics and tone of each story are geared for the three- to six-year-old mind, so the adult reader doesn't have to explain much. The unique stories can, however, kick off conversations in which the whole family can participate. <br /><br /> Between the stories are short, fun little poems that are illustrated in their own way. Read about animals, insects, kids, imaginary creatures, and more in these short interludes between tales. Some of them are short enough for a child to memorize after a few rounds of rereading. <br /><br /> The read-along factor is the most important part of Ladybug Magazine. Each story has Large Print and easy words, so early learners can follow along. Some eager new readers may even be able to read a few poems or stories themselves, especially if an adult is available to guide them through the print. The pictures serve as great cues to help along the way. <br /><br /> Subscribing to Ladybug Magazine is a great way to find something new and exciting to read together with your young child. Let the pages of Ladybug help you introduce your child to the wonderful world of literature.""]",,Cricket Media,B000ILU97A
2318,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Hunting & Firearms']","[""Each issue of Petersen's Hunting Magazine has instructional and entertaining articles for the true hunting enthusiast! Get in-depth coverage of various hunting disciplines, information on the seasonal Hunting Hot Spots, equipment reviews, and much more!""]",,Outdoor Sportsman Group - Integrated Media,B000ILVZJ6
2319,,"['This magazine serves as a practical guide to good health. Each issue includes information on naturally-oriented food and nutrition, alternative health practices, exercise and self-care. Natural Health focuses on the mind/body connection, illustrated exercise, preventative medicine, healthy cuisines, creating a healthy lifestyle in the home and office and consumer guides to natural products.', '<a href=""/gp/help/customer/display.html/ref=hp_left_ac?ie=UTF8&nodeId=201293140"" target=""_blank"">Learn more</a> about auto-renewal subscriptions on Amazon.com']",,"Weider Publications, Inc.",B000ILUYMK
2320,"['News & Political Commentary', 'Ideas & Commentary']","[""NewsMax Magazine brings you the stories the mainstream media won't. Get the inside scoop every month on politics, finance, health matters and more!""]",,Newsmax,B000ILVEZQ
2321,"['Religion & Spirituality', 'Christianity']","['Magnificat promises issues that are filled with spiritual insight, exquisite art, and invaluable inspiration. You will discover the most beautiful prayers, readings, and hymns of the Church in this lavishly printed, easy-to-read, pocket-sized worship aid.', ""Grow in prayerful love for the Savior with Magnificat magazine, a beautifully designed Catholic worship aid that helps readers fully develop their spiritual lives. Magnificat magazine helps you understand and follow Mass more closely and pray more fervently at home. Use it for your own prayers or to lead your family in worship. <br /><br /> Each pocket-sized issue of Magnificat magazine has more than four hundred pages of content that brings you closer to the Church and its traditions. The magazine contains daily Mass texts, Scriptural meditations, and Liturgy of the Hours prayers that you'll find useful throughout the day. <br /><br /> Magnificat magazine expands your liturgical understanding with spiritual writings about past and present saints, for example, as well as with editorials about matters of Scripture and faith. In addition, an in-depth monthly essay about a sacred art masterpiece offers insight into the cultural and spiritual legacies of the Church. Your appreciation of these magnificent works will grow with each image and accompanying theological analysis that puts the art in the context of the Church and its history. <br /><br /> Living in prayerful reverence for the blessed Savior requires a deep commitment to the Word of God and his Church's Holy Sacraments. The prayer book guides you through that commitment with page after page of prayers for morning and night, as well as with meditations you can ponder as you go through your day. Magnificat magazine's small size makes it easy to slip it into your pocket or purse, so you can refer to it whenever you need a dose of inspiration or a more thorough understanding of daily Mass."", '', '']",,Magnificat,B000ILUOEI
2322,"['Entertainment & Pop Culture', 'Celebrities & Gossip']","['Packed with sizzling exclusives, original photographs, and the hottest ""A-List"" stars, OK! delivers the inside scoop about celebrities each week. OK! provides unique insight into the latest fashion and beauty trends, fitness, vacations, and news on the hottest couples in Hollywood.', '', '', '<a href=""/gp/help/customer/display.html/ref=hp_left_ac?ie=UTF8&nodeId=201293140"" target=""_blank"">Learn more</a> about auto-renewal subscriptions on Amazon.com']",,"American Media, Inc.",B000ILVRO4
2323,"['Health, Fitness & Wellness', 'Women']","['This magazine is edited for the contemporary woman in that it covers the various issues that are important to women today. It features articles devoted to information on food and nutrition, health and fitness, beauty and fashion as well as the traditional values of home, family and children.', '', '']",,Hearst Magazines,B000ILY9LW
2324,"['Children & Teen', 'Children', 'By Age', 'Ages 9-12']","['Simply written and beautifully illustrated. Each monthly issue ""captures"" one of 60 different animals through magnificent photography, illustrations, diagrams, descriptions and includes interactive activity pages. Kids get ""up close and personal"" with the world\'s most amazing creatures.', ""Zoobooks Magazine is a favorite of zoos throughout the country. Filled with great animal pictures and informative articles, Zoobooks is a perfect zoological reference for any child aged six to twelve years old who loves animals. Each issue is themed around a specific animal or group of animals, discussing habits and habitat in depth so the reader gains a thorough understanding. Best of all, this magazine is refreshingly free of advertising. <br /><br /> An issue of Zoobooks Magazine has about 24 pages. Most of the magazine is packed with colorful pictures and illustrations of the theme animal, as well as short articles and fact sidebars. The most unique features of each animal are broken down and explained at a child's level. For species that are extinct or becoming extinct, children are encouraged to take action to ensure those animals' futures. The last four pages of each edition offer a pull-out activity booklet filled with games, puzzles, and coloring pages. <br /><br /> Zoobooks Magazine started as a product parents could purchase at kiosks near zoo exhibits appropriate to the specific issue. Demand for complete sets of Zoobooks quickly grew, and Wildlife Education Ltd. began selling subscriptions. Today, Zoobooks Magazine subscriptions also include monthly access to the online Secret Jungle, where kids can print out more animal-themed activities and play online games. Here, kids can also participate in a bi-weekly eSafari, in which subscribers can take a guided tour of great online animal sites and learn more about the particular month's theme animal. <br /><br /> Zoobooks Magazine offers a fantastic way for parents to answer all those animal questions inspired by zoo visits. Many budding zoologists save every issue, building a collection they can refer to for years to come.""]",,Wildlife Education Ltd,B000ILYKOS
2325,"['Professional & Educational Journals', 'Professional & Trade', 'Arts', 'Photography']","['Covers the new desktop darkroom or home photo lab technologies, trends and methods for modern photo and computer enthusiasts. It is edited for a broad spectrum of readers, from the beginner to the advanced, who want to know how to creatively and effectively control and produce exciting images.', ""Digital Photo magazine keeps you up to date on the latest technology and techniques digital camera users need to know. The magazine covers both the camera and computing end of producing incredible digital photographs, so you learn how to precisely control every aspect of the process. <br /><br /> The gear reviews in Digital Photo magazine introduce you to the latest technology in the field, so you can find the right piece of equipment for your needs. Beginners will appreciate articles explaining the function and use of basic equipment, such as tripods and external flashes. In-depth articles on the use of more complex tools, such as filters and high-end editing software, help you take your photos to a new level. When it comes to camera bodies, articles and reviews introducing new and upcoming models can keep you at the cutting edge of photographic technology. <br /><br /> Technique articles and tutorials in Digital Photo magazine provide step-by-step instruction that helps you master the techniques used by the pros. From how to light a subject to changing the background color during post-processing, these articles include tips that make each process go more smoothly. Stunning photographs from professional photographers and readers of the magazine can inspire you to try out new techniques and tools, and frequent contests let you pit your newfound photography skills against others. <br /><br /> Whether you're just starting out with your first digital camera or were a pioneer who dove into digital from the very start, you'll always find something new to learn in Digital Photo magazine."", '', '', '<a href=""/gp/help/customer/display.html/ref=hp_left_ac?ie=UTF8&nodeId=201293140"" target=""_blank"">Learn more</a> about auto-renewal subscriptions on Amazon.com']",,Madavor Media LLC,B000ILVN1G
2326,"['Automotive & Motorcycles', 'Automotive']","[""Each issue of MOTORCYCLIST combines the excitement and color of today's cruisers, sport bikes, naked bikes and touring machines with credible information on road tests, riding gear, safety issues, riding skills and new products.""]",,Bonnier Corporation,B000ILZ6YQ
2327,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Flying']","['FLIGHT JOURNAL includes articles on aviation history and contemporary practice; military, commercial and civil aircraft; notable personalities of aviation; technical aspects of aircraft; visits to air shows and museums; reports on restorations; aviation photography; three-view aircraft drawings; aviation art; and coverage of the virtual flight experiences available through computer flight simulations.']",,AirAge Publishing,B000ILZ6MS
2328,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Boating']","['This is a marine magazine geared toward affluent, experienced power-boaters. It features reviews of boats, engines, electronics, tow vehicles and other related products. It also includes technical information from boat tests, how-to articles and features on waterborne adventures.']",,Bonnier Corpiration,B000ILZ6QY
2329,"['Home & Garden', 'Design & Decoration']",['Elle Dcor focuses on the synergy between fashion and the home with decorating trends and personality packed interiors.'],,Hearst Magazines,B000ILZ6VE
2330,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Boating']","[""The indispensable magazine for today's yachtsman, providing power and sailing enthusiasts authoritative evaluations of new boats, gear and equipment. Coverage of cruising, traveling and racing destinations.""]",,Bonnier Corporation,B000ILYHSM
2331,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Equestrian']","['If you love horses, you ll love Horse Illustrated. Each issue delivers expert advice on horse health and care, along with riding tips. An entertaining equestrian mix is rounded out with beautifully illustrated breed profiles and engaging reads about life with horses, all with a fresh/modern look.', '<hr class=""bucketDivider"" size=""1"" /> <div class=""bucket"" id=""productDescription""><strong class=""h1"">Editorial Reviews</strong><br /> <div class=""content"">', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Horse Illustrated</em>?</span></strong> <br /> <em>Horse Illustrated</em> serves hands-on horse owners by promoting the best in horse care, riding, and training. It’s the premier monthly source of all-breed, all-discipline equine information – including expert English and Western training advice, competitive insight, important medical updates, comprehensive coverage of equine health and nutrition, as well as breed profiles, news, and lifestyle features for equestrians. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong><br />']",,Eg Media Investments Llc,B000INBBKM
2332,"['Arts, Music & Photography', 'Art & Art History']","['Art & Auction magazine covers the international art markets, from antiques to contemporary art. Articles include pieces on artists or schools of art and furniture, analyses of trends in the market, auction reviews and previews, a monthly calendar of gallery exhibitions, auctions and antiques shows throughout the United States and Europe.']",,Louise Blouin Media,B000INBVOI
2333,['Pets & Animals'],"[""The premier magazine of Lake Tahoe, Tahoe Quarterly celebrates the beauty, lifestyle, culture, politics, sports and recreation of the northern Sierra. Printed six times per year, you'll love the big-picture articles and in-depth profiles of area artists and personalities enhanced by spectacular phot"", '', '']",,Tahoe Quarterly Llc,B000INAYI2
2334,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Water Sports']",,Canoe & Kayak,,B000INAXVK
2335,"['Cooking, Food & Wine', 'Recipes & Techniques']","['The favorite life-style magazine of country-loving women for 40 years is filled with delicious country recipes, affordable decorating ideas, easy-to-make crafts, green-thumb advice for your gardens and wholesome humor.']",,"Trusted Media Brands, Inc.",B000INCK4I
2336,['Pets & Animals'],"['Your all-in-one guide to the successful care and keeping of reptiles and amphibians. It appeals to both professional and hobbyist with expert articles about keeping and breeding reptiles and amphibians, veterinary issues, the latest news in the herpetological world and stories from the field.']",,,B000IOEHW0
2337,"['Fashion & Style', 'Women']","[""Lucky is your ultimate shopping guide, spotlighting thousands of incredible finds in fashion, beauty, home and more. Each month, the Lucky editors hit the streets to find the best new looks AND the best deal...PLUS incredible Lucky Breaks on the hottest items! If you love to shop, you'll adore Lucky!"", '<hr class=""bucketDivider"" size=""1"" /> <div class=""bucket"" id=""productDescription""> <div class=""content"">', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Lucky</em>?</span></strong> <br /> <em>Lucky</em> magazine is the only magazine devoted exclusively to shopping and style. A pioneer in the fashion magazine field, it provides women who are passionate about shopping with a broad range of the best styles and products out there--but a tight edit of the pieces that are worth a second look. As the voice of a friend in the know, <em>Lucky</em> makes fashion and beauty fun and accessible for everyone, showcasing what to wear and how to wear it.  <br /><br /> The magazine features gorgeous photography and an endless array of product shots--and every item comes with how-to-get it-right-now information next to its photo (pricing, website, phone number, store location). Readers don’t have to flip to the back of the book to read the fine print on how much something costs--and they can buy it right then and there. It’s all about instant gratification. <em>Lucky</em> also shows readers a variety of price points—you’ll see a pair of $300 shoes next to a $30 pair. <br /><br /> <em>Lucky</em>’s editors offer real-life women advice on how to wear the latest trends in a way that’s flattering and right for their shape and size: they don’t assume one size or trend fits all. It’s all about accessibility, and remembering that fashion is supposed to be fun, not stressful.    There’s also advice on how to ""shop your own closet"": you don’t need to go out and buy a whole new wardrobe each season—just a few key pieces and styling tricks can turn a summer piece into a fall one. <br /><br /> Since <em>Lucky</em>’s launch in December 2000, circulation has rocketed from 500,000 to over 1.1 million, proving to be one of the most successful launches in Conde Nast history.   <br /><br /><strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;""><em></em></span></strong><strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong>  <table align=""right"" cellpadding=""3"" width=""400""> <tbody> <tr> <td><a href=""https://images-na.ssl-images-amazon.com/images/G/01/books/a-plus/Lucky-L-08.jpg""><img alt=""A Month of Outfits"" border=""0"" src=""https://images-na.ssl-images-amazon.com/images/G/01/books/a-plus/Lucky-S-08.jpg"" /></a></td> </tr> </tbody> </table>']",,Cond Nast Publications,B000IOEJZ0
2338,['Pets & Animals'],['SPID SHORT DESCRIPTION NOT AVAILABLE'],,Belvoir Publs Inc,B000IOEJBO
2339,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Hunting & Firearms']","['Contains news, in-depth features, and how-to tips on trapping, the art of predator calling, and animal damage control. Contributors include the top names in the business. Regular columns and departments include ?The Fur Shed,? ?Let?s Swap Ideas,? ?Market Report,? ?Questions & Answers,? and news from state trapping associations nationwide.', '', '']",,,B000IOEL4Y
2340,"['Cooking, Food & Wine', 'Special Diet']","[""Cooking Light magazine helps you maintain a healthy lifestyle by providing delicious low-calorie recipes and tips. From modest dishes perfect for a weekday dinner to elaborate creations that will impress even the most jaded dinner guest, each recipe in the magazine is tested to ensure that it will come out just the way you want. Inside Cooking Light magazine, you'll find a variety of recipes to suit any situation, including kid-friendly fare, vegetarian dishes, fast and easy meals, and comfort food. You'll also find healthy eating tips and in-depth instructions on how to best use common pantry ingredients, so you can create your own healthy variations of family favorites. There's even a monthly wine feature that helps you find the best vintage to pair with your meal. The lifestyle content in Cooking Light magazine keeps you healthy even when you aren't in the kitchen. Beauty tips and simple yet effective workout ideas keep you looking great, while travel features inspire you to plan a healthy getaway. The magazine's product reviews introduce you to the latest kitchen gadgets to make meal preparation easier. Whether you are a beginner in the kitchen or an experienced home cook, Cooking Light magazine gives you the tools you need to make your meals more nutritious and your lifestyle healthier"", '<hr class=""bucketDivider"" size=""1"" /> <div class=""bucket"" id=""productDescription""> <div class=""content"">', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Cooking Light</em>?</span></strong> <br /> <em>Cooking Light</em> is a trusted source for those who want to cook and enjoy healthy, delicious food. Whether you’re in a hurry to prepare a quick and easy dinner tonight or need a game plan for the perfect party, <em>Cooking Light</em> offers nutritious, kitchen-tested recipes for every day living or special occasions. And whether you’re a novice or an adventurous cook you’ll find great food and healthy lifestyle tips in every issue. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong>']",,Meredith Corporation,B000IOEK7M
2341,['Pets & Animals'],"['SPID SHORT DESCRIPTION NOT AVAILABLE', '', '']",,Belvoir Publs Inc,B000IOEJCI
2342,"['Entertainment & Pop Culture', 'Television']","['TV Guide is now Full-Size, Full-Color, for people who are passionate about their favorite shows, characters, and stars. Plus, an easier-to-use national listings section with more highlights and reviews. TV Guide Magazine publishes 29 double or special issues a year. Each double or special issue counts as two of 56 issues in an annual subscription. Cover price is $4.99.', '', '']",,TV Guide,B000IOEJ8W
2343,"['Cooking, Food & Wine', 'Special Diet']","[""Vegetarian Times is the magazine of great food, good health, and smart living. Each issue is packed with mouth-watering recipes that taste great-and are good for you too. You'll find new tastes, old favorites, and tips on how to cook with fewer calories and less fat."", ""Vegetarian Times magazine is a popular publication that supports a healthy lifestyle through eating green and living smart. Although it might be geared more towards vegetarians, the magazine provides something for everyone-from die-hard vegans to those who love trying different kinds of foods. Vegetarian Times magazine offers delectable recipes, information about ecofriendly products, and editorials from famous wellness experts that help its readers improve their lifestyles. <br /><br /> Featuring gorgeous and inspiring food photography, Vegetarian Times magazine is bound to entice you to make delicious meals yourself. You can easily prepare mouthwatering meals quickly by following the detailed instructions provided with each recipe. You will also learn ways to add your cherished flavors into meals. <br /><br /> Vegetarian Times magazine features columns from leading doctors and nutritionists who provide answers to the questions about following a healthy vegetarian lifestyle. The magazine focuses on political issues and news associated with the vegan way of life as well. It also provides books and products reviews, contains enlightening interviews, and covers international events that vegetarians would find interesting. It delves on the issue of animal cruelty and talks about the harmful side effects of consuming diets with animal products. <br /><br /> In each issue, you will find helpful information about identifying healing foods, nourishing fruits, and the most nutritious vegetables. Whether you're a strict vegan or would like to infuse more nutrition into your daily diet, Vegetarian Times magazine includes appetizing recipes made with revitalizing ingredients and lifestyle tips to get you ready for healthy living. A subscription to Vegetarian Times magazine provides everything you need to know for eating a healthy diet and living well."", '', '', '<a href=""/gp/help/customer/display.html/ref=hp_left_ac?ie=UTF8&nodeId=201293140"" target=""_blank"">Learn more</a> about auto-renewal subscriptions on Amazon.com']",,Active Interest Media,B000IOELH6
2344,"['Professional & Educational Journals', 'Professional & Trade', 'Science & Technology', 'Physics']","['Packed with ideas, theory and projects for you to build - using class-leading drawings and illustrations, with full circuit diagrams, p.c.b. layouts, artwork and photos.']",,Wimborne Publ Ltd/Sequoia Hse,B000IODV5E
2345,"['Home & Garden', 'Design & Decoration']",,,Meredith Corporation,B000IOE9Y6
2346,,"[""The classic and performace car magazine that celebrates the world's greatest cars. Published in England.""]",,Dennis Publ Ltd/Cust Intreface,B000J0ZSIA
2347,,"['ANOTHER MAN mixes credible modern icons with art, music, high impact fashion photography and strong opinionated writing by key cultural voices. A magazine for men who like their lifestyle rocked with passion and intelligence, luxury and a sense of adventure.']",,Dazed Group Limited,B000J0ZS4E
2348,"['Professional & Educational Journals', 'Professional & Trade', 'Education', 'History of Education']","['The voice of archaeology in Britain and beyond. British Archaeology is a news-magazine that sets out to be lively and well-written enough for the general reader, but also sufficiently rigorous for the academic. Articles in the much-praised bi-monthly magazine British Archaeology are regularly picked up by the national and local media, and some of its stories have gone round the world. The magazine contains many features, as well as comments, interviews, book reviews, letters, columns on science, the internet and television, event listings and news from the CBA. Included in the magazine is CBA Briefing, an information supplement which lists excavations open to participation, conferences, exhibitions and much else.']",,Council British Arch/ Yac,B000JCEACI
2349,"['Professional & Educational Journals', 'Professional & Trade', 'Medicine']","['Every issue brings you amazing stories of real-life slimming success, gorgeous food ideas and menu plans, must-read features and expert health and fitness advice.']",,Miles Bramwell Executive Ser,B000JK8PI0
